iter	Passed	Remaining
0	13	13563
1	16	8160
2	19	6492
3	21	5454
4	24	4912
5	27	4542
6	30	4260
7	32	4042
8	35	3890
9	37	3725
10	39	3585
11	42	3513
12	45	3419
13	47	3343
14	50	3292
15	52	3225
16	54	3166
17	57	3145
18	59	3096
19	62	3055
20	64	3017
21	67	2986
22	69	2953
23	71	2927
24	74	2917
25	77	2896
26	80	2885
27	83	2894
28	86	2880
29	88	2871
30	91	2853
31	93	2832
32	96	2816
33	98	2802
34	101	2805
35	104	2801
36	107	2792
37	109	2784
38	112	2781
39	115	2771
40	117	2759
41	120	2753
42	123	2741
43	125	2728
44	128	2717
45	130	2711
46	133	2698
47	135	2688
48	137	2678
49	140	2669
50	142	2660
51	145	2658
52	148	2649
53	150	2640
54	153	2636
55	155	2628
56	158	2620
57	161	2618
58	163	2612
59	166	2604
60	168	2600
61	171	2593
62	173	2586
63	176	2581
64	178	2573
65	181	2564
66	183	2556
67	185	2548
68	188	2540
69	190	2536
70	193	2534
71	196	2532
72	198	2526
73	201	2524
74	204	2517
75	206	2513
76	209	2516
77	212	2509
78	214	2502
79	217	2499
80	219	2493
81	222	2492
82	225	2491
83	228	2487
84	230	2482
85	233	2481
86	236	2480
87	238	2476
88	241	2476
89	244	2471
90	247	2469
91	250	2474
92	253	2476
93	256	2476
94	259	2470
95	261	2465
96	264	2462
97	267	2457
98	269	2451
99	271	2445
100	274	2440
101	276	2435
102	279	2430
103	281	2428
104	284	2424
105	287	2426
106	290	2423
107	292	2417
108	295	2412
109	297	2410
110	300	2405
111	302	2399
112	305	2397
113	307	2392
114	310	2388
115	313	2385
116	315	2382
117	317	2376
118	320	2372
119	322	2368
120	325	2363
121	328	2360
122	330	2357
123	333	2353
124	335	2347
125	337	2343
126	340	2338
127	343	2336
128	345	2335
129	348	2330
130	350	2325
131	353	2323
132	355	2318
133	358	2314
134	360	2311
135	363	2307
136	365	2302
137	367	2297
138	370	2293
139	372	2289
140	374	2284
141	377	2280
142	379	2276
143	382	2272
144	384	2269
145	387	2266
146	389	2261
147	392	2257
148	394	2253
149	396	2249
150	399	2245
151	402	2243
152	404	2239
153	406	2234
154	409	2232
155	411	2228
156	414	2223
157	416	2222
158	419	2218
159	421	2215
160	424	2211
161	426	2207
162	429	2203
163	431	2200
164	434	2198
165	436	2194
166	439	2190
167	441	2188
168	444	2184
169	446	2180
170	449	2177
171	451	2173
172	453	2169
173	456	2165
174	458	2162
175	461	2158
176	464	2158
177	466	2155
178	469	2151
179	471	2148
180	474	2145
181	476	2142
182	479	2140
183	482	2140
184	484	2136
185	487	2132
186	490	2131
187	492	2127
188	494	2123
189	497	2121
190	499	2117
191	502	2113
192	504	2110
193	507	2107
194	509	2104
195	511	2100
196	514	2097
197	516	2093
198	519	2090
199	522	2088
200	524	2084
201	526	2081
202	529	2077
203	531	2074
204	533	2070
205	536	2067
206	539	2065
207	541	2061
208	543	2058
209	546	2056
210	548	2052
211	551	2048
212	554	2049
213	557	2046
214	559	2042
215	562	2040
216	564	2037
217	566	2033
218	569	2030
219	571	2027
220	574	2024
221	576	2021
222	579	2018
223	581	2014
224	584	2013
225	587	2011
226	589	2008
227	591	2004
228	594	2001
229	596	1998
230	599	1996
231	602	1993
232	604	1990
233	607	1987
234	609	1983
235	612	1981
236	614	1979
